# slice=emitter-1 submission=1 builds_spent=0 builds_budget=2 ceiling_raises=0
row_id	severity	state	submission	evidence	residual_owner	followup	honest_limit
E-SCHEMA	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-TOJSON	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-DIAG	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-MANIFEST	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-INVENTORY	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-SEEDS	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-NEGATIVE	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-ADDITIVE	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
E-FENCE	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-STEP-TOTAL	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-EVENT-CTORS-COMPLETE	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-INVERSION-NAMING	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-SORRY-BOUNDARY	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-TOJSON-DERIVABLE	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-STATE-DECEQ	BLOCKING	OPEN	0	NONE	NONE	NONE	NONE
INV-48-ONE-GUARD-PER-CONSTRUCTOR	ADVISORY	OPEN	0	NONE	#48-docs	R48-GUARD-GRANULARITY	A green event-level refusal identity does not establish clause-level cause.
INV-48-NO-BACK-EDGE	ADVISORY	OPEN	0	NONE	#48-architecture	R48-TRACE-DEPENDENCY-DIRECTION	Current slice fencing does not prevent a future machine-to-Trace import.
