OP-11|step_grant_inv|KILL|MUT:Step.lean:54:demand(isResponsabile)→demand True|RED (exact-g mismatch)
OP-24|step_deny_inv|KILL|MUT:Step.lean:58:demand(isResponsabile)→demand True|RED
OP-12|step_pledge_inv|KILL|MUT:Step.lean:99:decide(0<v)→decide True|RED
OP-13|step_accept_inv|KILL|MUT:Step.lean:107:isResponsabile→True|RED
OP-14|step_refuse_inv|KILL|MUT:Step.lean:114:isResponsabile→True|RED
OP-15|step_correct_inv|KILL|MUT:Step.lean:121:isResponsabile→True|RED
OP-16|step_close_inv|KILL|MUT:Step.lean:128:isResponsabile→True|RED
OP-17|step_fail_inv|KILL|MUT:Step.lean:135:isResponsabile→True|RED
OP-18|Reactivegas.step_open_inv|KILL|MUT:Step.lean:48:isResponsabile→True|RED
OP-19|Reactivegas.step_deposit_inv|KILL|MUT:Step.lean:63:isResponsabile→True|RED
OP-19|deposit_double_entry|KILL|MUT:Step.lean:63 (same)|RED (own unfold)
OP-20|Reactivegas.step_withdraw_inv|KILL|MUT:Step.lean:68:isResponsabile→True|RED
OP-20|withdraw_double_entry|KILL|MUT:Step.lean:68 (same)|RED (own unfold)
OP-21|Reactivegas.step_transferCassa_inv|KILL|MUT:Step.lean:75:isResponsabile→True|RED
OP-22|Reactivegas.step_donate_inv|KILL|MUT:Step.lean:80:decide(0<v)→decide True|RED (demonstrated form)
OP-23|Reactivegas.step_backdonate_inv|KILL|MUT:Step.lean:89:auth s w→True|RED
OP-11..24-COLL|conservation_preserved|KILL|COLL-ALL14:observation across OP-11..24 runs|failure observed per run (own per-arm unfoldings)
OP-11..24-COLL|step_authorized|KILL|COLL-ALL14: same|failure observed per run (own per-arm unfoldings)
OP-12|pledge_escrow_debit|OBSERVED|—|OBSERVED (upstream step_pledge_inv)
OP-12|pledge_rejected_when_member|OBSERVED|—|OBSERVED (upstream step_pledge_inv)
OP-12|pledge_preserves_allUnique|OBSERVED|—|OBSERVED (upstream step_pledge_inv)
OP-16|close_spends_referente|OBSERVED|—|OBSERVED (upstream step_close_inv)
OP-68|pledge_guard_inv|ELAB-STATIC|ELAB:Reactivegas/Invariants.lean|structural (no stepEvent)
OP-68|auth_referente_guard_inv|ELAB-STATIC|ELAB:Reactivegas/Invariants.lean|structural (no stepEvent)
OP-68|close_guard_inv|ELAB-STATIC|ELAB:Reactivegas/Invariants.lean|structural (no stepEvent)
OP-68|fail_guard_inv|ELAB-STATIC|ELAB:Reactivegas/Invariants.lean|structural (no stepEvent)
OP-68|close_permission_to_close|ELAB-STATIC|ELAB:Reactivegas/Invariants.lean|structural (no stepEvent)
OP-25|credit_pledges_step|KILL|MUT:Step.lean:82-83:drop conti-comune-credit|RED (own arm case)
OP-25|solvent_preserved|OBSERVED|MUT:Step.lean:82-83 (same)|OBSERVED (upstream credit_pledges_step)
OP-25|reach_solvent|OBSERVED|MUT:Step.lean:82-83 (same)|OBSERVED (upstream solvent_preserved)
OP-25|not_insolvent_of_reach|OBSERVED|MUT:Step.lean:82-83 (same)|OBSERVED (upstream reach_solvent)
OP-25|credit_pledges_of_reach|OBSERVED|MUT:Step.lean:82-83 (same)|OBSERVED (upstream credit_pledges_step)
OP-29|credit_pledges_step|KILL|MUT:Step.lean:102:drop conti-debit|RED (pledge-arm case)
OP-31|credit_pledges_step|KILL|MUT:Step.lean:131:drop casse-spend|RED (close-arm case)
OP-28|comune_not_a_member_of_reach|STATIC|PREMISE:no-mutant|none (S5 connection question)
OP-30|comune_not_a_member_step|STATIC|VACUOUS:no-mutant|none (ignores hstep)
OP-67G|governance_enacts_windUpAdmin|KILL|MUT:Step.lean:257:refundAll-conti→conti|RED (own unfold)
OP-39|KelGroups.Vote.placeBallot_clean|KILL|MUT:Vote/Fold.lean:55:dissents.erase→dissents|RED (definitional)
OP-39|KelGroups.Vote.placeBallot_tally|KILL|MUT:Vote/Fold.lean:55 (same)|RED (definitional)
OP-39|KelGroups.Vote.ballots_nodup_disjoint|OBSERVED|MUT:Vote/Fold.lean:55 (same)|OBSERVED (upstream foldVote_wellFormed)
OP-39|KelGroups.Vote.sweepClosures_tallyKeys|OBSERVED|MUT:Vote/Fold.lean:55 (same)|OBSERVED (upstream open_mem)
OP-39|KelGroups.Vote.tally_keys_franchised_from|OBSERVED|MUT:Vote/Fold.lean:55 (same)|OBSERVED (upstream effectedState_tally_growth)
OP-40|KelGroups.Vote.sweepClosures_open_mem|KILL|MUT:Vote/Fold.lean:76:filter-pred→fun-true|RED (own unfold)
OP-40|KelGroups.Vote.sweepClosures_closed_mem|KILL|MUT:Vote/Fold.lean:76 (same)|RED (own unfold)
OP-40|KelGroups.Vote.sweepClosures_idempotent|KILL|MUT:Vote/Fold.lean:76 (same)|RED (own unfold)
