id	class	row	expected_rejection	observed	exit	receipt_sha256	status
M1	gate-falsification	I-R1-1	I-R1-1 immediate citation placement	GATE-FAIL  I-R1-1 immediate citation placement: IMMEDIATE-CITATION-AUDIT citing_blocks=69 placement_gaps=1 result=FAIL;	1	09c8f2727f95a464c07dfef2931df0b2fcad78d8877d4b8dd8d440250f3d655c	KILLED
M2	gate-falsification	I-R1-2	I-R1-2 non-vacuity	GATE-FAIL  I-R1-2 non-vacuity: citing_blocks=0 < 60 (citations deleted, not placed);GATE-FAIL  I-F2-1b comune: explicit comuneId writes named;	1	41b977dace2d681056f93fabec99f1b1dda78e9c2802ef3a7602d2fa6a23117c	KILLED
M3	gate-falsification	I-R1-4	I-R1-4 structured citation elaboration	GATE-FAIL  I-R1-4 a structured citation does not elaborate;GATE-FAIL  carry: no nonexistent removeUser;	1	eb5ff9e59aadbf88b54095e510c8bb5a0801e0fd1bf16bfcb4a05c68ecc4c25a	KILLED
M5	gate-falsification	I-FENCE-2	I-FENCE-2 exact frozen blob	GATE-FAIL  I-FENCE-2 Predicates.lean blob 908a8b47c416760e834a31e5775ea854b40afc36 != frozen 812f3115ca39ba2efc61421b9438b73b52affb68;	1	3cb1c586a6d41062c24f1d75498934c5d3b34f5ec636f2148b0f81837316c8af	KILLED
M6	gate-falsification	I-FENCE-1	I-FENCE-1 six-path fence	GATE-FAIL  I-FENCE-1 path set mismatch: docs/en/design/state-machine.md,docs/en/design/t59-scratch.md,lean/Reactivegas/Invariants.lean,lean/Reactivegas/Predicates.lean,lean/Reactivegas/Step.lean,lean/Reactivegas/TraceTests.lean,lean/Reactivegas/Types.lean;	1	b5a89aaed9e371700f2006b1660156e0c8b7deee739df5da31e4594fc700b519	KILLED
M7	gate-falsification	I-FENCE-3	I-FENCE-3 rejected blob not final	GATE-FAIL  I-FENCE-3 design record is pinned at the rejected blob; R1/R2 require it to change;GATE-FAIL  I-R1-1 immediate citation placement: IMMEDIATE-CITATION-AUDIT citing_blocks=68 placement_gaps=41 result=FAIL;GATE-FAIL  I-R2-1 no affirmative derivability claim (whole document);	1	0971ac5ab0861e9a9ceec11341f1854d4a58bd5b0d372c20e55efa5a14f0271d	KILLED
M8	gate-falsification	I-M-6	I-M-6 inventory reconciliation	GATE-FAIL  I-M-6 document Event inventory does not reconcile with live Types.lean;	1	eb79e98e88b5bcaebc33700cd18e44f33e6b7138e486c4fdfaf9aaeaba828c95	KILLED
M9	gate-falsification	carry-removeUser	carry: no nonexistent removeUser	GATE-FAIL  carry: no nonexistent removeUser;	1	e5ee91910ac28490595cfaa5340f039dadc0b866990f79dacb2f782beb5370e0	KILLED
M10	gate-falsification	instrument-identity	[0] frozen checker hash	GATE-FAIL  frozen citation checker hash mismatch: 9d23368e355c4c6e4f9b2bbe71328753c0d368b0662482250e112cd4d752f3cf;	1	b067f56838a4528eb5a78c0dc7cdb707671c03945632cd30fa5be3cd5b4f4b32	KILLED
M11	gate-falsification	I-F3-4c	I-F3-4c reachability explicitly not a premise	GATE-FAIL  I-F3-4c L6: reachability is explicitly not a premise;	1	067e40d45693ea5ae9b593cf840c8cec97b2dee6bf4397046c625a69485ede11	KILLED
M4b	gate-falsification	I-R2-1	I-R2-1 affirmative derivability + explicit non-derivability	GATE-FAIL  I-R2-1 no affirmative derivability claim (whole document);GATE-FAIL  I-R2-1 the non-derivability is stated explicitly;	1	4f2404b1ff9f54e4bfc8640182d5ed9c781f63b64bd936763e5008fb8529a125	KILLED
M4c	gate-falsification	I-R2-1	I-R2-1 rejected sentence fragment + affirmative derivability	GATE-FAIL  I-R2-1 no affirmative derivability claim (whole document);GATE-FAIL  I-R2-1 rejected sentence fragment absent;	1	1d4df46331b4f95f6a73dd77e9cadcea9a02ec7becf2e4e09ddb2d8ba5de6895	KILLED
M12	gate-falsification	I-R1-3/I-M-2	gate exits at [0] with reason=cold-prerequisite-build and emits no citation verdict	T59-GATE-SUMMARY version=t59-design-record-1 failures=1 reason=cold-prerequisite-build	1	2ed0e09580ed8752f7b306b0246c5c8280e0205ba26e335bc1d19bf7fd1b529e	KILLED
M4	gate-falsification	I-R2-1	n/a	SUPERSEDED by M4b/M4c: multi-line splice did not apply	0	-	SUPERSEDED
S1	satisfiability	all rows	gate must be able to PASS	full gate exit=0 on ticket-owner witness	0	1e35eb1c7a95287be69a2a13f9017916f3523296d710c8f201fe455775c6bca6	PROVEN
S2	instrument-satisfiability	I-R1-1	frozen checker must be able to return PASS	synthetic doc PASS exit=0; real-scale witness PASS citing_blocks=69	0	-	PROVEN
C1	comparative-control	I-R1-3	retired #48 probe on a cold tree	exits 0 and reports 230/230 live (the defect)	0	-	DEFECT-REPRODUCED
